transaction_id,customer_id,date,time,product_id,quantity,price,payment_method,channel,store_id,promotion_id,discount_amount
39,470,2023-09-15,13:18:00,14,4,4.33,Credit Card,In-store,2,,0.0
40,440,2023-08-16,19:03:00,19,4,3.74,Credit Card,Online,,,0.0
41,281,2023-09-17,16:15:00,9,1,3.04,Cash,In-store,3,3,0.9
42,692,2023-07-21,18:38:00,9,1,3.04,Mobile Pay,In-store,3,,0.0
43,155,2023-08-30,17:48:00,25,4,6.48,Credit Card,In-store,3,,0.0
44,606,2023-08-11,13:49:00,12,2,5.06,Cash,Online,,,0.0
45,360,2024-01-09,20:23:00,19,1,3.74,Mobile Pay,In-store,2,,0.0
46,455,2023-09-09,08:18:00,19,1,3.74,Credit Card,In-store,1,,0.0
47,455,2023-10-13,09:37:00,19,4,3.74,Mobile Pay,Online,,3,4.38
48,162,2024-05-17,13:54:00,20,5,5.96,Credit Card,In-store,3,,0.0
49,119,2024-05-08,09:58:00,25,2,6.48,Mobile Pay,Online,,,0.0
50,567,2023-12-04,16:01:00,3,5,2.83,Cash,In-store,3,,0.0
51,147,2024-04-05,10:42:00,14,3,4.33,Mobile Pay,Online,,,0.0
52,462,2024-05-21,11:21:00,3,2,2.83,Credit Card,In-store,1,,0.0
53,502,2023-10-27,10:42:00,15,1,3.78,Credit Card,Online,,3,1.09
54,261,2023-12-09,11:22:00,1,2,6.17,Credit Card,Online,,,0.0
55,388,2023-12-08,17:26:00,20,4,5.96,Credit Card,In-store,1,,0.0
56,630,2023-09-30,18:40:00,7,3,3.43,Credit Card,In-store,2,1,1.59
57,124,2023-09-18,12:43:00,23,5,3.63,Cash,In-store,3,,0.0
58,669,2023-10-13,08:30:00,14,1,4.33,Mobile Pay,In-store,1,1,0.82
59,367,2024-04-21,17:17:00,4,5,5.53,Mobile Pay,Online,,,0.0
60,560,2024-02-14,12:58:00,9,8,3.04,Cash,Online,,,0.0
61,149,2024-02-25,12:40:00,24,3,2.96,Cash,In-store,1,,0.0
62,477,2023-08-15,11:27:00,22,1,6.38,Mobile Pay,In-store,1,,0.0
63,130,2023-12-10,20:22:00,1,4,6.17,Mobile Pay,Online,,,0.0
64,322,2024-03-03,15:31:00,21,4,4.82,Mobile Pay,Online,,,0.0
65,495,2023-08-31,08:11:00,7,4,3.43,Mobile Pay,In-store,2,,0.0
66,556,2024-03-08,14:52:00,16,1,4.89,Credit Card,In-store,2,,0.0
67,220,2023-10-31,13:49:00,16,1,4.89,Cash,In-store,1,4,0.64
68,559,2023-08-25,13:26:00,25,2,6.48,Cash,Online,,4,1.93
69,124,2023-07-14,19:01:00,11,5,3.7,Credit Card,In-store,1,,0.0
70,723,2023-06-07,11:39:00,4,1,5.53,Mobile Pay,In-store,3,,0.0
71,682,2024-01-23,19:18:00,19,2,3.74,Credit Card,Online,,2,1.83
72,282,2024-06-01,15:32:00,6,1,3.51,Cash,In-store,2,,0.0
73,151,2023-12-31,19:26:00,6,3,3.51,Credit Card,Online,,5,1.16
74,308,2023-06-07,12:03:00,6,5,3.51,Mobile Pay,Online,,4,1.8
75,491,2024-05-06,18:24:00,3,5,2.83,Mobile Pay,In-store,1,,0.0
76,607,2024-03-30,19:20:00,10,5,3.41,Credit Card,Online,,,0.0
77,163,2024-04-30,17:45:00,10,1,3.41,Credit Card,In-store,3,2,0.75
78,493,2023-09-23,18:55:00,16,5,4.89,Cash,In-store,3,,0.0
79,742,2024-02-24,17:36:00,2,1,4.32,Credit Card,In-store,3,5,0.8
80,722,2023-10-02,15:42:00,8,5,4.66,Mobile Pay,In-store,2,4,3.88
81,350,2023-06-14,17:35:00,22,3,6.38,Cash,In-store,3,,0.0
82,617,2024-06-04,11:56:00,16,5,4.89,Credit Card,Online,,,0.0
83,654,2024-01-12,14:13:00,8,1,4.66,Mobile Pay,Online,,,0.0
84,554,2024-01-16,16:51:00,10,1,3.41,Cash,In-store,2,,0.0
85,277,2023-06-15,20:28:00,8,4,4.66,Credit Card,In-store,2,1,4.11
86,597,2023-11-23,09:42:00,10,5,3.41,Cash,Online,,3,3.78
87,614,2023-12-06,08:49:00,11,1,3.7,Credit Card,In-store,3,,0.0
88,703,2024-01-13,20:18:00,25,2,6.48,Mobile Pay,Online,,,0.0
89,345,2023-11-22,14:41:00,7,2,3.43,Mobile Pay,Online,,3,0.94
90,562,2024-03-24,08:00:00,16,1,4.89,Credit Card,Online,,,0.0
91,733,2024-03-13,12:02:00,1,3,6.17,Mobile Pay,Online,,,0.0
92,287,2023-08-01,14:11:00,14,4,4.33,Credit Card,Online,,,0.0
93,238,2023-11-04,12:36:00,6,4,3.51,Credit Card,In-store,2,,0.0
94,438,2023-08-20,08:06:00,21,4,4.82,Credit Card,Online,,,0.0
95,544,2023-09-08,11:55:00,8,3,4.66,Cash,In-store,3,2,3.01
96,270,2023-10-11,08:50:00,13,4,3.41,Cash,In-store,1,,0.0
97,515,2023-11-19,17:30:00,3,2,2.83,Mobile Pay,Online,,,0.0
98,345,2024-01-30,19:03:00,22,3,6.38,Cash,In-store,2,,0.0
99,460,2023-10-24,10:26:00,7,3,3.43,Cash,Online,,,0.0
100,601,2024-04-06,20:04:00,6,2,3.51,Credit Card,In-store,1,,0.0
101,117,2023-11-01,10:37:00,23,3,3.63,Mobile Pay,Online,,,0.0
102,527,2023-11-05,11:26:00,9,2,3.04,Cash,Online,,2,1.11
103,142,2023-07-16,16:11:00,3,4,2.83,Cash,Online,,3,2.59
104,229,2023-09-05,17:33:00,8,2,4.66,Credit Card,In-store,1,,0.0
105,362,2023-07-08,18:12:00,6,1,3.51,Mobile Pay,Online,,3,0.37
106,723,2023-08-14,12:08:00,16,5,4.89,Cash,Online,,,0.0
107,361,2024-05-16,09:21:00,9,3,3.04,Credit Card,Online,,,0.0
108,542,2023-07-30,14:05:00,15,3,3.78,Cash,In-store,2,,0.0
109,151,2023-08-22,11:04:00,6,1,3.51,Mobile Pay,Online,,,0.0
110,776,2023-08-08,16:29:00,23,2,3.63,Mobile Pay,In-store,1,,0.0
111,711,2023-08-12,10:28:00,16,5,4.89,Cash,In-store,3,,0.0
112,283,2023-11-27,09:09:00,11,4,3.7,Mobile Pay,Online,,,0.0
113,747,2023-06-12,17:08:00,20,2,5.96,Cash,Online,,,0.0
114,480,2023-06-19,12:41:00,24,3,2.96,Credit Card,Online,,,0.0
115,271,2023-11-06,18:38:00,1,3,6.17,Mobile Pay,Online,,,0.0
116,754,2023-08-10,08:21:00,8,3,4.66,Credit Card,Online,,,0.0
117,276,2023-11-03,20:48:00,25,2,6.48,Credit Card,In-store,2,,0.0
118,420,2023-09-18,09:31:00,13,3,3.41,Credit Card,Online,,,0.0
119,400,2024-05-08,13:18:00,11,3,3.7,Credit Card,Online,,3,3.0
120,319,2024-05-30,18:13:00,24,4,2.96,Cash,Online,,,0.0
121,601,2023-10-15,10:39:00,7,1,3.43,Credit Card,Online,,,0.0
122,339,2024-04-03,19:50:00,24,3,2.96,Cash,Online,,,0.0
123,122,2024-02-21,09:04:00,19,4,3.74,Cash,Online,,4,1.82
124,646,2024-05-22,18:31:00,22,5,6.38,Cash,Online,,3,8.96
125,216,2023-07-16,19:34:00,16,4,4.89,Cash,In-store,3,,0.0
126,226,2024-03-04,10:30:00,21,3,4.82,Mobile Pay,In-store,1,,0.0
127,120,2024-04-19,18:08:00,18,4,5.14,Credit Card,Online,,,0.0
128,608,2023-10-06,10:37:00,3,5,2.83,Credit Card,Online,,3,2.3
129,772,2023-07-23,08:43:00,6,3,3.51,Mobile Pay,In-store,3,,0.0
130,376,2023-07-08,20:23:00,23,2,3.63,Credit Card,In-store,2,,0.0
131,129,2024-01-26,20:51:00,3,4,2.83,Cash,In-store,2,,0.0
132,565,2024-02-29,12:53:00,19,2,3.74,Mobile Pay,In-store,3,,0.0
133,167,2023-08-22,20:07:00,14,5,4.33,Mobile Pay,Online,,,0.0
134,261,2024-03-01,16:32:00,8,4,4.66,Mobile Pay,In-store,2,,0.0
135,338,2024-02-14,11:27:00,20,5,5.96,Mobile Pay,Online,,,0.0
136,251,2024-05-17,19:36:00,9,2,3.04,Credit Card,Online,,,0.0
137,475,2024-01-15,10:52:00,12,5,5.06,Credit Card,In-store,1,,0.0
138,385,2023-06-30,18:37:00,16,2,4.89,Cash,Online,,,0.0
139,662,2023-06-18,17:13:00,23,3,3.63,Mobile Pay,Online,,,0.0
140,303,2023-10-01,18:02:00,2,5,4.32,Credit Card,In-store,2,,0.0
141,245,2023-09-05,10:01:00,8,3,4.66,Mobile Pay,In-store,1,,0.0
142,188,2024-02-06,09:22:00,15,4,3.78,Mobile Pay,Online,,,0.0
143,258,2023-09-22,17:33:00,13,3,3.41,Cash,In-store,3,3,1.57
144,326,2023-07-13,20:28:00,4,1,5.53,Credit Card,In-store,2,2,1.65
145,443,2024-02-17,20:21:00,19,1,3.74,Mobile Pay,In-store,1,,0.0
146,114,2023-07-09,20:31:00,14,3,4.33,Cash,Online,,,0.0
147,767,2023-11-21,18:08:00,11,2,3.7,Credit Card,In-store,3,2,1.08
148,750,2023-06-08,11:10:00,13,5,3.41,Cash,In-store,3,2,3.04
149,527,2024-05-01,12:04:00,7,1,3.43,Mobile Pay,Online,,2,0.62
150,580,2023-12-26,18:08:00,24,4,2.96,Cash,In-store,2,2,1.75
151,148,2023-08-10,12:33:00,1,5,6.17,Cash,Online,,,0.0
152,749,2023-06-28,09:14:00,24,1,2.96,Mobile Pay,In-store,3,2,0.72
153,438,2024-01-15,16:50:00,6,4,3.51,Cash,In-store,2,,0.0
154,149,2023-07-03,15:49:00,15,4,3.78,Mobile Pay,In-store,3,,0.0
155,705,2024-01-13,15:01:00,19,3,3.74,Credit Card,In-store,3,,0.0
156,121,2024-03-16,14:16:00,20,4,5.96,Mobile Pay,In-store,3,,0.0
157,571,2024-05-23,12:09:00,14,1,4.33,Credit Card,In-store,3,4,0.9
158,607,2024-04-14,12:18:00,8,3,4.66,Cash,Online,,5,3.19
159,542,2023-11-15,19:55:00,4,2,5.53,Cash,In-store,3,,0.0
160,791,2023-10-21,10:34:00,21,1,4.82,Credit Card,In-store,1,,0.0
161,702,2023-11-27,15:47:00,14,1,4.33,Credit Card,In-store,2,,0.0
162,411,2023-10-22,13:23:00,12,4,5.06,Mobile Pay,In-store,2,,0.0
163,435,2023-08-10,16:08:00,25,3,6.48,Cash,Online,,,0.0
164,627,2023-12-03,11:15:00,16,4,4.89,Cash,Online,,5,3.32
165,504,2023-07-19,17:43:00,9,4,3.04,Credit Card,In-store,1,3,2.76
166,644,2024-02-24,14:09:00,21,5,4.82,Cash,Online,,,0.0
167,134,2023-10-29,12:25:00,6,1,3.51,Mobile Pay,In-store,1,4,0.86
168,810,2024-05-13,12:20:00,14,2,4.33,Cash,In-store,3,,0.0
169,538,2023-10-25,17:35:00,24,2,2.96,Cash,In-store,1,,0.0
170,648,2023-12-31,14:53:00,7,4,3.43,Mobile Pay,Online,,,0.0
171,634,2024-01-07,19:48:00,25,3,6.48,Mobile Pay,Online,,,0.0
172,103,2023-12-15,20:46:00,24,4,2.96,Cash,In-store,3,,0.0
173,600,2024-04-21,10:24:00,11,1,3.7,Mobile Pay,Online,,,0.0
174,338,2024-01-31,16:46:00,17,2,3.59,Cash,In-store,3,2,1.02
175,517,2024-04-28,19:18:00,6,5,3.51,Mobile Pay,Online,,,0.0
176,358,2024-05-30,20:32:00,8,1,4.66,Mobile Pay,Online,,5,0.88
177,697,2024-03-23,13:34:00,6,2,3.51,Cash,In-store,1,,0.0
178,160,2024-04-13,10:16:00,25,5,6.48,Cash,Online,,4,9.12
179,428,2023-07-15,17:11:00,17,1,3.59,Cash,In-store,3,5,0.79
180,218,2023-08-21,13:50:00,10,1,3.41,Mobile Pay,Online,,,0.0
181,243,2024-02-10,19:08:00,2,1,4.32,Credit Card,In-store,1,,0.0
182,495,2024-04-14,15:25:00,8,3,4.66,Cash,Online,,,0.0
183,355,2024-02-12,16:06:00,12,5,5.06,Mobile Pay,Online,,,0.0
184,797,2023-07-10,12:25:00,9,4,3.04,Credit Card,Online,,,0.0
185,209,2023-08-22,10:24:00,1,1,6.17,Mobile Pay,In-store,1,,0.0
186,176,2024-03-18,18:09:00,23,5,3.63,Credit Card,Online,,4,5.15
187,468,2023-07-25,11:48:00,19,4,3.74,Credit Card,Online,,,0.0
188,121,2023-06-10,13:46:00,19,5,3.74,Cash,In-store,3,,0.0
189,183,2024-03-30,16:24:00,11,2,3.7,Credit Card,Online,,,0.0
190,755,2024-02-06,10:09:00,9,4,3.04,Credit Card,Online,,,0.0
191,179,2023-09-04,20:56:00,22,1,6.38,Cash,Online,,,0.0
192,632,2023-10-13,10:42:00,6,3,3.51,Mobile Pay,Online,,,0.0
193,156,2023-10-07,08:32:00,12,2,5.06,Credit Card,In-store,3,2,1.34
194,614,2023-08-12,16:01:00,20,2,5.96,Credit Card,In-store,2,1,3.51
195,613,2024-02-23,12:19:00,6,4,3.51,Mobile Pay,Online,,5,2.9
196,298,2024-01-01,08:11:00,21,5,4.82,Credit Card,Online,,,0.0
197,578,2024-02-10,19:20:00,15,5,3.78,Credit Card,Online,,2,2.03
198,215,2023-12-15,19:25:00,17,3,3.59,Cash,In-store,2,,0.0
199,667,2024-03-14,16:38:00,14,3,4.33,Cash,Online,,,0.0
200,635,2024-04-13,19:26:00,16,5,4.89,Mobile Pay,In-store,2,,0.0
201,495,2024-01-17,08:49:00,14,2,4.33,Cash,Online,,,0.0
202,336,2023-08-06,14:02:00,16,4,4.89,Mobile Pay,In-store,2,,0.0
203,354,2024-04-12,09:59:00,18,2,5.14,Cash,Online,,,0.0
204,440,2024-01-27,09:04:00,15,2,3.78,Credit Card,Online,,,0.0
205,647,2024-05-14,17:17:00,24,5,2.96,Cash,Online,,,0.0
206,400,2024-05-01,16:50:00,21,5,4.82,Cash,Online,,,0.0
207,663,2023-09-18,09:54:00,16,1,4.89,Mobile Pay,Online,,3,1.34
208,674,2023-07-22,10:06:00,5,1,4.36,Mobile Pay,In-store,2,,0.0
209,768,2023-10-09,18:01:00,4,3,5.53,Mobile Pay,Online,,1,1.66
210,810,2024-04-08,14:37:00,24,2,2.96,Cash,In-store,1,,0.0
211,145,2023-10-23,16:32:00,3,5,2.83,Credit Card,In-store,2,,0.0
212,596,2023-11-12,14:41:00,18,1,5.14,Mobile Pay,Online,,,0.0
213,320,2023-08-09,13:51:00,1,3,6.17,Mobile Pay,In-store,3,,0.0
214,539,2024-05-04,08:26:00,13,5,3.41,Mobile Pay,Online,,4,2.56
215,568,2023-11-26,18:29:00,18,4,5.14,Mobile Pay,Online,,,0.0
216,323,2024-05-25,16:07:00,20,5,5.96,Cash,In-store,1,,0.0
217,345,2023-07-10,19:51:00,21,2,4.82,Mobile Pay,In-store,3,4,1.42
218,692,2023-08-12,10:02:00,9,5,3.04,Credit Card,In-store,3,,0.0
219,754,2024-01-28,15:59:00,19,3,3.74,Credit Card,Online,,,0.0
220,111,2023-10-17,17:36:00,13,3,3.41,Credit Card,In-store,3,,0.0
221,404,2023-09-30,20:49:00,20,1,5.96,Credit Card,Online,,1,0.91
222,140,2023-08-15,19:29:00,19,1,3.74,Credit Card,Online,,5,0.48
223,136,2024-06-03,16:37:00,25,3,6.48,Credit Card,Online,,,0.0
224,421,2023-12-19,17:35:00,6,4,3.51,Cash,Online,,,0.0
225,500,2023-11-11,16:10:00,23,2,3.63,Mobile Pay,Online,,,0.0
226,255,2024-01-27,11:35:00,10,5,3.41,Mobile Pay,Online,,5,1.95
227,570,2024-06-02,14:58:00,8,1,4.66,Mobile Pay,Online,,3,1.19
228,351,2024-05-25,18:36:00,10,2,3.41,Cash,In-store,1,,0.0
229,344,2024-04-27,20:33:00,18,1,5.14,Cash,In-store,3,,0.0
230,654,2023-09-02,08:22:00,5,5,4.36,Credit Card,Online,,,0.0
231,525,2023-07-12,18:58:00,22,5,6.38,Cash,In-store,1,,0.0
232,552,2024-03-22,12:06:00,13,5,3.41,Credit Card,In-store,1,,0.0
233,491,2024-02-01,14:03:00,4,4,5.53,Credit Card,Online,,,0.0
234,461,2024-04-12,12:27:00,17,2,3.59,Credit Card,Online,,,0.0
235,438,2024-02-28,20:10:00,18,5,5.14,Cash,Online,,,0.0
236,472,2024-02-01,12:30:00,7,1,3.43,Cash,Online,,,0.0
237,251,2024-05-12,20:54:00,7,1,3.43,Cash,In-store,3,3,0.96
238,760,2024-01-12,15:13:00,23,5,3.63,Credit Card,Online,,,0.0
239,556,2024-05-26,11:50:00,11,2,3.7,Mobile Pay,In-store,1,,0.0
240,412,2024-02-25,13:53:00,5,5,4.36,Credit Card,Online,,,0.0
241,128,2023-11-25,14:04:00,20,3,5.96,Credit Card,In-store,1,,0.0
242,114,2024-03-13,13:31:00,17,5,3.59,Mobile Pay,Online,,,0.0
243,560,2023-07-10,10:57:00,2,4,4.32,Mobile Pay,In-store,1,,0.0
244,747,2024-03-03,20:55:00,19,2,3.74,Cash,In-store,1,,0.0
245,186,2023-08-27,16:06:00,2,1,4.32,Credit Card,In-store,1,,0.0
246,528,2024-03-11,19:44:00,2,1,4.32,Cash,Online,,,0.0
247,506,2024-03-25,16:11:00,11,3,3.7,Cash,Online,,,0.0
248,804,2024-05-06,15:53:00,7,3,3.43,Mobile Pay,Online,,,0.0
249,133,2023-06-27,20:26:00,23,5,3.63,Credit Card,In-store,1,2,2.57
250,527,2024-04-07,15:40:00,7,5,3.43,Cash,Online,,,0.0
251,288,2023-07-10,20:28:00,24,2,2.96,Credit Card,Online,,,0.0
252,795,2024-05-10,19:08:00,5,4,4.36,Credit Card,In-store,3,,0.0
253,563,2023-06-14,20:45:00,1,3,6.17,Credit Card,In-store,3,,0.0
254,118,2023-07-11,18:13:00,14,5,4.33,Cash,Online,,5,4.48
255,679,2024-02-17,15:00:00,24,4,2.96,Cash,Online,,,0.0
256,507,2024-03-03,13:07:00,2,5,4.32,Credit Card,In-store,3,,0.0
257,186,2024-04-15,10:46:00,6,3,3.51,Cash,In-store,1,,0.0
258,618,2024-05-29,14:11:00,16,2,4.89,Cash,Online,,,0.0
259,708,2023-07-06,11:26:00,15,4,3.78,Credit Card,In-store,3,,0.0
260,764,2024-01-10,09:04:00,4,2,5.53,Mobile Pay,In-store,1,,0.0
261,437,2023-08-21,10:04:00,12,4,5.06,Mobile Pay,Online,,,0.0
262,707,2023-12-06,08:59:00,23,5,3.63,Mobile Pay,Online,,,0.0
263,683,2023-08-26,19:32:00,17,5,3.59,Cash,Online,,,0.0
264,552,2023-06-23,18:07:00,10,1,3.41,Mobile Pay,Online,,1,0.48
265,466,2023-07-07,08:36:00,9,3,3.04,Mobile Pay,Online,,,0.0
266,668,2024-01-24,15:29:00,14,4,4.33,Mobile Pay,Online,,,0.0
267,799,2024-02-22,20:58:00,19,5,3.74,Credit Card,In-store,3,,0.0
268,795,2023-09-03,16:43:00,2,4,4.32,Cash,In-store,2,3,2.95
269,101,2024-05-25,08:03:00,12,5,5.06,Credit Card,In-store,3,,0.0
270,116,2024-01-01,08:39:00,10,3,3.41,Cash,Online,,,0.0
271,534,2023-10-10,10:24:00,11,5,3.7,Credit Card,Online,,,0.0
272,308,2023-11-09,19:11:00,8,5,4.66,Mobile Pay,Online,,,0.0
273,305,2024-05-26,11:26:00,24,2,2.96,Mobile Pay,In-store,3,,0.0
274,454,2023-08-09,17:40:00,3,2,2.83,Cash,Online,,5,1.08
275,265,2024-02-28,09:27:00,10,5,3.41,Credit Card,In-store,3,,0.0
276,446,2024-04-12,19:27:00,12,3,5.06,Cash,In-store,1,,0.0
277,579,2023-07-14,16:26:00,25,1,6.48,Credit Card,In-store,3,,0.0
278,586,2024-03-29,12:46:00,23,1,3.63,Mobile Pay,In-store,1,2,0.48
279,244,2023-11-03,13:15:00,18,1,5.14,Credit Card,In-store,3,1,1.33
280,421,2023-06-24,11:24:00,10,2,3.41,Mobile Pay,Online,,,0.0
281,133,2023-07-21,19:47:00,16,4,4.89,Cash,In-store,1,4,5.15
282,535,2023-08-04,18:44:00,12,5,5.06,Cash,In-store,1,,0.0
283,504,2023-12-25,16:11:00,17,1,3.59,Mobile Pay,In-store,2,,0.0
284,243,2023-10-05,08:22:00,19,1,3.74,Mobile Pay,In-store,1,4,0.41
285,272,2023-12-25,20:53:00,13,4,3.41,Cash,In-store,2,,0.0
286,695,2024-02-22,08:43:00,9,3,3.04,Credit Card,Online,,,0.0
287,189,2023-10-23,15:21:00,18,3,5.14,Credit Card,Online,,3,3.79
288,409,2023-06-22,12:38:00,6,2,3.51,Mobile Pay,Online,,3,1.41
289,597,2023-09-26,15:33:00,17,5,3.59,Credit Card,In-store,1,,0.0
290,462,2023-11-13,20:09:00,10,3,3.41,Credit Card,Online,,,0.0
291,131,2023-12-28,14:35:00,7,1,3.43,Credit Card,In-store,2,5,0.98
292,473,2024-02-14,17:00:00,15,1,3.78,Mobile Pay,In-store,2,,0.0
293,497,2024-03-18,20:18:00,5,5,4.36,Cash,In-store,2,,0.0
294,794,2023-07-24,08:33:00,5,2,4.36,Cash,Online,,,0.0
295,268,2024-02-14,20:22:00,19,5,3.74,Mobile Pay,Online,,,0.0
296,327,2023-12-19,20:03:00,6,1,3.51,Mobile Pay,Online,,,0.0
297,103,2023-11-27,15:11:00,22,4,6.38,Credit Card,In-store,2,,0.0
298,675,2024-03-29,10:35:00,20,3,5.96,Cash,Online,,,0.0
299,792,2023-10-09,19:56:00,17,3,3.59,Credit Card,In-store,2,3,1.27
300,759,2023-10-19,13:43:00,23,4,3.63,Mobile Pay,In-store,2,4,2.26
301,270,2023-06-08,09:59:00,22,1,6.38,Cash,In-store,1,2,1.75
302,540,2024-05-13,11:47:00,18,2,5.14,Cash,Online,,,0.0
303,286,2023-06-11,19:15:00,15,1,3.78,Cash,Online,,,0.0
304,153,2023-11-18,09:04:00,11,2,3.7,Cash,Online,,,0.0
305,211,2024-04-09,10:09:00,23,1,3.63,Credit Card,In-store,3,,0.0
306,684,2024-06-03,15:05:00,20,2,5.96,Credit Card,In-store,2,,0.0
307,756,2024-01-24,17:03:00,9,5,3.04,Cash,In-store,1,,0.0
308,387,2024-01-12,20:08:00,12,1,5.06,Credit Card,In-store,1,,0.0
309,671,2023-10-07,19:17:00,14,2,4.33,Mobile Pay,Online,,,0.0
310,373,2023-07-07,16:54:00,4,1,5.53,Cash,Online,,,0.0
311,412,2024-01-04,08:10:00,14,1,4.33,Cash,Online,,1,1.21
312,159,2024-04-13,10:01:00,22,5,6.38,Cash,In-store,3,,0.0
313,503,2023-12-22,12:51:00,23,4,3.63,Mobile Pay,In-store,3,,0.0
314,278,2023-06-07,11:50:00,20,5,5.96,Mobile Pay,Online,,,0.0
315,681,2023-11-03,11:42:00,11,5,3.7,Credit Card,Online,,2,2.06
316,531,2023-12-04,10:12:00,21,4,4.82,Credit Card,Online,,,0.0
317,315,2023-07-23,19:29:00,14,4,4.33,Cash,Online,,,0.0
318,396,2023-10-22,15:32:00,2,2,4.32,Mobile Pay,In-store,2,,0.0
319,483,2023-12-26,15:00:00,21,1,4.82,Mobile Pay,Online,,,0.0
320,482,2023-07-23,18:49:00,6,3,3.51,Mobile Pay,In-store,2,4,1.31
321,599,2023-07-12,16:21:00,11,4,3.7,Credit Card,Online,,,0.0
322,695,2024-03-28,14:14:00,17,1,3.59,Cash,Online,,,0.0
323,472,2024-04-14,20:42:00,11,4,3.7,Mobile Pay,Online,,,0.0
324,770,2023-11-08,11:24:00,21,3,4.82,Mobile Pay,In-store,3,5,2.53
325,546,2023-08-28,20:52:00,20,3,5.96,Mobile Pay,In-store,3,,0.0
326,353,2024-02-05,09:49:00,24,3,2.96,Mobile Pay,In-store,2,,0.0
327,598,2023-06-07,17:45:00,4,3,5.53,Mobile Pay,In-store,3,,0.0
328,320,2023-08-29,10:02:00,17,1,3.59,Mobile Pay,Online,,,0.0
329,472,2023-07-22,10:43:00,2,4,4.32,Mobile Pay,Online,,,0.0
330,598,2024-03-06,20:22:00,5,4,4.36,Cash,In-store,3,5,2.2
331,269,2023-11-19,10:21:00,17,4,3.59,Mobile Pay,In-store,1,,0.0
332,690,2023-06-12,16:36:00,17,4,3.59,Credit Card,Online,,,0.0
333,576,2024-02-07,18:09:00,25,4,6.48,Cash,Online,,,0.0
334,108,2024-02-25,18:41:00,15,5,3.78,Cash,Online,,,0.0
335,128,2024-02-08,15:03:00,22,3,6.38,Mobile Pay,Online,,,0.0
336,611,2023-06-14,16:38:00,17,5,3.59,Credit Card,Online,,1,3.44
337,457,2023-10-15,12:05:00,2,5,4.32,Credit Card,Online,,,0.0
