EngagementId,Platform,PostType,Reach,Impressions,EngagementCount,Date
156,Facebook,Post,1937,8082,700,1/30/2023
157,Facebook,Post,828,1630,24,1/30/2023
158,Instagram,Ad,4172,11147,519,1/30/2023
159,Instagram,Ad,1965,5211,33,1/30/2023
160,Facebook,Ad,3768,17559,1046,1/31/2023
161,Twitter,Reel,4925,23297,456,1/31/2023
162,Twitter,Reel,3328,5742,517,1/31/2023
163,Facebook,Ad,894,4370,226,2/1/2023
164,Instagram,Story,1996,6298,136,2/1/2023
165,Instagram,Ad,156,553,13,2/1/2023
166,Instagram,Reel,3626,10246,157,2/1/2023
167,Facebook,Reel,128,558,30,2/2/2023
168,Instagram,Reel,969,4253,208,2/2/2023
169,Twitter,Story,270,928,60,2/2/2023
170,Facebook,Story,2128,5322,376,2/3/2023
171,Instagram,Reel,293,582,45,2/3/2023
172,Instagram,Reel,109,434,10,2/3/2023
173,Twitter,Ad,2956,6311,63,2/3/2023
174,Twitter,Ad,4318,6106,540,2/3/2023
175,Facebook,Story,4066,5358,526,2/4/2023
176,Instagram,Ad,828,2991,108,2/4/2023
177,Instagram,Reel,2308,9783,311,2/4/2023
178,Facebook,Reel,2855,13811,660,2/5/2023
179,Twitter,Post,4387,9815,250,2/5/2023
180,Facebook,Reel,871,1175,81,2/6/2023
181,Facebook,Post,3734,13328,860,2/6/2023
182,Facebook,Story,4629,17061,132,2/6/2023
183,Instagram,Reel,699,2884,90,2/6/2023
184,Instagram,Reel,84,95,5,2/6/2023
185,Instagram,Story,4825,14921,1255,2/6/2023
186,Facebook,Reel,1116,2881,214,2/7/2023
187,Instagram,Reel,972,2405,15,2/7/2023
188,Instagram,Post,658,1837,134,2/7/2023
189,Facebook,Post,4717,5206,244,2/8/2023
190,Facebook,Reel,1038,2159,89,2/8/2023
191,Facebook,Ad,3671,13711,569,2/8/2023
192,Instagram,Reel,1873,2804,241,2/8/2023
193,Twitter,Ad,224,1106,39,2/8/2023
194,Facebook,Reel,1477,6886,311,2/9/2023
195,Facebook,Story,4248,17189,900,2/9/2023
196,Instagram,Post,2463,5089,472,2/9/2023
197,Instagram,Post,114,375,27,2/9/2023
198,Twitter,Reel,250,463,26,2/9/2023
199,Twitter,Post,3924,15804,1024,2/9/2023
200,Twitter,Story,4712,16472,964,2/9/2023
201,Facebook,Reel,1262,1800,161,2/10/2023
202,Facebook,Post,1141,2343,142,2/10/2023
203,Facebook,Reel,2682,4988,315,2/10/2023
204,Instagram,Ad,2612,10026,917,2/10/2023
205,Instagram,Ad,396,734,20,2/10/2023
206,Twitter,Story,2010,3302,42,2/10/2023
207,Twitter,Post,3148,4547,382,2/10/2023
208,Facebook,Reel,1956,4208,7,2/11/2023
209,Facebook,Post,4089,19512,625,2/11/2023
210,Twitter,Post,2284,7095,76,2/11/2023
211,Twitter,Post,4762,5852,536,2/11/2023
212,Facebook,Ad,4282,10481,434,2/12/2023
213,Facebook,Ad,2064,6214,16,2/12/2023
214,Facebook,Reel,287,778,76,2/13/2023
215,Facebook,Post,1875,7039,23,2/13/2023
216,Facebook,Story,2503,10623,752,2/13/2023
217,Instagram,Post,1461,5805,185,2/13/2023
218,Instagram,Story,3894,4216,13,2/13/2023
219,Twitter,Ad,980,4354,293,2/13/2023
220,Twitter,Reel,4284,15744,1317,2/13/2023
221,Facebook,Post,2275,7725,764,2/14/2023
222,Facebook,Post,2702,6611,564,2/14/2023
223,Facebook,Reel,3922,18510,1518,2/14/2023
224,Twitter,Post,3978,7096,339,2/14/2023
225,Twitter,Reel,1694,2116,55,2/14/2023
226,Facebook,Ad,3071,10672,1063,2/15/2023
227,Instagram,Reel,755,1402,18,2/15/2023
228,Instagram,Post,2353,5287,96,2/15/2023
229,Instagram,Reel,2782,12652,544,2/15/2023
230,Twitter,Post,1832,5375,57,2/15/2023
231,Twitter,Post,2980,3781,256,2/15/2023
232,Twitter,Reel,411,867,38,2/15/2023
233,Facebook,Story,2457,3793,58,2/16/2023
234,Facebook,Post,2547,3387,44,2/16/2023
235,Instagram,Ad,868,3964,273,2/16/2023
236,Instagram,Post,189,721,44,2/16/2023
237,Instagram,Post,4154,15332,669,2/16/2023
238,Twitter,Post,4849,5672,339,2/16/2023
239,Facebook,Story,3049,6129,310,2/17/2023
240,Instagram,Ad,3876,14493,672,2/17/2023
241,Instagram,Post,2442,6193,29,2/17/2023
242,Instagram,Ad,2073,4445,120,2/17/2023
243,Facebook,Reel,2803,10068,601,2/18/2023
244,Twitter,Reel,2298,8677,348,2/18/2023
245,Facebook,Post,450,1928,126,2/19/2023
246,Facebook,Reel,4804,13489,962,2/19/2023
247,Facebook,Post,4548,6090,496,2/19/2023
248,Instagram,Ad,4969,7716,186,2/19/2023
249,Facebook,Post,861,2900,265,2/20/2023
250,Instagram,Reel,4794,13485,375,2/20/2023
251,Twitter,Reel,4732,21397,86,2/20/2023
252,Twitter,Reel,3250,9478,434,2/20/2023
253,Facebook,Post,1234,5986,513,2/21/2023
254,Facebook,Reel,3497,12382,646,2/21/2023
255,Instagram,Reel,323,658,58,2/21/2023
256,Twitter,Reel,4835,24145,1273,2/21/2023
257,Instagram,Story,1879,4596,311,2/22/2023
258,Instagram,Reel,1283,5651,315,2/22/2023
259,Facebook,Reel,4938,17453,787,2/23/2023
260,Facebook,Reel,3228,11261,920,2/23/2023
261,Facebook,Story,50,102,10,2/23/2023
262,Instagram,Ad,1359,3031,121,2/23/2023
263,Instagram,Story,385,1386,8,2/23/2023
264,Twitter,Reel,1456,1728,106,2/23/2023
265,Twitter,Ad,2910,10752,314,2/23/2023
266,Twitter,Ad,896,1296,11,2/23/2023
267,Facebook,Reel,306,457,20,2/24/2023
268,Facebook,Reel,3621,14043,254,2/24/2023
269,Instagram,Post,4992,22726,777,2/24/2023
270,Twitter,Story,2672,6978,590,2/24/2023
271,Facebook,Post,4892,6812,512,2/25/2023
272,Instagram,Reel,2819,7483,405,2/25/2023
273,Twitter,Post,1888,2716,220,2/25/2023
274,Facebook,Ad,2784,5899,436,2/26/2023
275,Instagram,Story,3459,14105,47,2/26/2023
276,Twitter,Reel,2188,8285,599,2/26/2023
277,Twitter,Story,2855,8214,226,2/26/2023
278,Facebook,Reel,746,1620,115,2/27/2023
279,Facebook,Ad,2704,7896,221,2/27/2023
280,Facebook,Post,3396,8227,82,2/27/2023
281,Instagram,Ad,721,1385,81,2/27/2023
282,Instagram,Story,1495,5605,134,2/27/2023
283,Instagram,Story,2226,7762,80,2/27/2023
284,Twitter,Reel,2116,5871,47,2/27/2023
285,Facebook,Ad,3011,14118,438,2/28/2023
286,Instagram,Ad,1332,5737,357,2/28/2023
287,Instagram,Ad,374,1757,49,2/28/2023
288,Twitter,Story,232,248,11,2/28/2023
289,Twitter,Story,528,1308,60,2/28/2023
290,Twitter,Story,1110,4665,408,2/28/2023
291,Facebook,Story,682,2192,104,3/1/2023
292,Facebook,Story,1149,3660,53,3/1/2023
293,Facebook,Reel,4311,10769,805,3/1/2023
294,Instagram,Reel,4513,14276,141,3/1/2023
295,Facebook,Post,3010,9117,158,3/3/2023
296,Instagram,Post,2590,12230,998,3/3/2023
297,Twitter,Story,1868,2201,48,3/3/2023
298,Twitter,Reel,1158,3712,112,3/3/2023
299,Facebook,Ad,683,1005,77,3/4/2023
300,Instagram,Story,4814,20287,787,3/4/2023
301,Instagram,Reel,300,924,61,3/4/2023
302,Twitter,Story,2029,8806,845,3/4/2023
303,Twitter,Reel,4181,10618,1031,3/5/2023
304,Instagram,Post,3000,7888,675,3/6/2023
305,Twitter,Reel,1447,3549,156,3/6/2023
306,Twitter,Ad,3594,15006,901,3/6/2023
307,Facebook,Ad,4212,15695,1250,3/7/2023
308,Facebook,Reel,4577,4660,282,3/7/2023
309,Instagram,Story,2184,4596,357,3/7/2023
310,Instagram,Reel,470,506,23,3/7/2023
311,Instagram,Ad,1337,4899,375,3/7/2023
312,Twitter,Reel,2493,11310,725,3/7/2023
313,Twitter,Post,406,1572,106,3/7/2023
314,Twitter,Post,2067,7672,196,3/7/2023
315,Twitter,Post,1142,1782,136,3/8/2023
316,Twitter,Reel,4735,15848,1079,3/9/2023
317,Twitter,Post,4618,5163,453,3/9/2023
318,Twitter,Ad,3624,5999,46,3/9/2023
319,Facebook,Story,3307,14525,699,3/10/2023
320,Facebook,Story,4369,18883,1241,3/10/2023
321,Facebook,Story,3864,11054,645,3/10/2023
322,Instagram,Reel,3508,16338,673,3/10/2023
323,Twitter,Post,1880,5328,271,3/10/2023
324,Facebook,Reel,3628,10685,1014,3/11/2023
325,Facebook,Post,1170,3445,172,3/11/2023
326,Instagram,Story,4540,22149,1187,3/11/2023
327,Instagram,Post,3977,10051,438,3/11/2023
328,Facebook,Reel,4834,15286,1020,3/12/2023
329,Instagram,Story,2327,6980,48,3/12/2023
330,Twitter,Reel,4359,12355,994,3/12/2023
331,Facebook,Story,3620,13899,444,3/13/2023
332,Instagram,Reel,570,2262,28,3/13/2023
333,Instagram,Ad,1435,2633,19,3/13/2023
334,Instagram,Ad,3144,7255,267,3/13/2023
335,Twitter,Post,1756,2552,93,3/13/2023
336,Twitter,Post,4743,6924,640,3/13/2023
337,Twitter,Ad,133,648,43,3/13/2023
338,Facebook,Ad,1834,2241,88,3/14/2023
339,Facebook,Ad,4267,20605,503,3/14/2023
340,Instagram,Reel,3507,12893,332,3/14/2023
341,Instagram,Post,1637,2582,96,3/15/2023
342,Instagram,Post,4047,16005,718,3/15/2023
343,Twitter,Ad,532,1556,102,3/15/2023
344,Twitter,Story,3616,12597,235,3/15/2023
345,Facebook,Post,2352,5780,105,3/16/2023
346,Twitter,Ad,1203,4324,257,3/16/2023
347,Facebook,Post,4846,22153,550,3/17/2023
348,Facebook,Reel,3418,16872,1513,3/18/2023
349,Facebook,Post,2358,6205,606,3/18/2023
350,Facebook,Story,3653,9012,437,3/18/2023
351,Instagram,Post,1951,3923,213,3/18/2023
352,Instagram,Post,4391,8595,790,3/18/2023
353,Twitter,Story,194,230,10,3/18/2023
354,Twitter,Reel,560,970,54,3/18/2023
355,Facebook,Reel,4399,15223,865,3/19/2023
356,Facebook,Reel,4336,12883,609,3/19/2023
357,Instagram,Ad,169,331,14,3/19/2023
358,Instagram,Story,872,3933,18,3/19/2023
359,Facebook,Ad,1064,1528,107,3/20/2023
360,Twitter,Post,4382,13210,331,3/20/2023
361,Facebook,Story,310,492,30,3/21/2023
362,Facebook,Reel,4291,13795,271,3/21/2023
363,Twitter,Ad,4455,5618,470,3/21/2023
364,Twitter,Post,3463,12753,622,3/21/2023
365,Facebook,Ad,2393,4188,253,3/22/2023
366,Instagram,Ad,4812,10268,886,3/22/2023
367,Instagram,Ad,2077,9414,330,3/22/2023
368,Facebook,Reel,4650,17971,990,3/23/2023
369,Facebook,Ad,3725,15808,742,3/23/2023
370,Facebook,Reel,2353,11000,984,3/23/2023
371,Instagram,Ad,3917,16045,662,3/23/2023
372,Facebook,Post,3936,18477,1003,3/24/2023
373,Instagram,Post,2495,3334,191,3/24/2023
374,Facebook,Reel,3016,3101,176,3/25/2023
375,Facebook,Post,2202,9445,759,3/25/2023
376,Facebook,Post,1471,6944,303,3/25/2023
377,Instagram,Post,1347,5379,336,3/25/2023
378,Instagram,Post,820,1717,78,3/25/2023
379,Twitter,Ad,476,521,45,3/25/2023
380,Facebook,Post,2078,3970,98,3/26/2023
381,Instagram,Ad,2590,9976,379,3/26/2023
382,Instagram,Ad,2088,2213,173,3/26/2023
383,Twitter,Ad,3769,12990,409,3/26/2023
384,Twitter,Ad,1995,7749,168,3/26/2023
385,Facebook,Post,660,2607,202,3/27/2023
386,Facebook,Reel,553,2042,40,3/27/2023
387,Facebook,Ad,4270,14421,1436,3/27/2023
388,Instagram,Post,2106,7745,397,3/27/2023
389,Instagram,Ad,2007,8824,653,3/27/2023
390,Instagram,Story,3146,6573,612,3/27/2023
391,Twitter,Post,266,1176,47,3/27/2023
392,Twitter,Post,2393,9409,751,3/27/2023
393,Twitter,Ad,605,2283,165,3/27/2023
394,Facebook,Reel,2454,9527,247,3/28/2023
395,Instagram,Story,4228,16235,1463,3/28/2023
396,Instagram,Story,4063,14474,380,3/28/2023
397,Instagram,Post,724,3164,77,3/28/2023
398,Twitter,Story,2185,5746,146,3/28/2023
399,Facebook,Ad,4460,16478,322,3/29/2023
400,Facebook,Ad,3565,6010,247,3/29/2023
401,Twitter,Ad,3906,6446,237,3/29/2023
402,Twitter,Ad,3358,10032,691,3/29/2023
403,Facebook,Story,4464,4481,32,3/30/2023
404,Facebook,Ad,915,1598,78,3/30/2023
405,Twitter,Post,2708,12513,1222,3/30/2023
406,Facebook,Story,4381,21778,780,3/31/2023
407,Instagram,Ad,1613,8040,175,3/31/2023
408,Facebook,Reel,3338,14634,411,4/1/2023
409,Facebook,Story,4119,17908,648,4/1/2023
410,Instagram,Post,2539,10527,1013,4/1/2023
411,Instagram,Story,484,488,20,4/1/2023
412,Instagram,Story,2140,3575,299,4/1/2023
413,Twitter,Story,3220,13219,158,4/1/2023
414,Twitter,Post,2068,6663,661,4/1/2023
415,Facebook,Reel,2100,3361,9,4/2/2023
416,Facebook,Reel,2417,7399,421,4/2/2023
417,Instagram,Ad,89,318,13,4/2/2023
418,Instagram,Post,3734,11716,139,4/2/2023
419,Instagram,Post,1776,2944,162,4/2/2023
420,Twitter,Ad,4463,11437,642,4/2/2023
421,Twitter,Post,1997,4027,6,4/2/2023
422,Twitter,Post,4699,15720,859,4/2/2023
423,Instagram,Ad,1049,2984,79,4/3/2023
424,Instagram,Story,2572,12515,1056,4/3/2023
425,Instagram,Ad,3216,12555,1229,4/3/2023
426,Twitter,Reel,273,1359,79,4/3/2023
427,Twitter,Post,654,1528,131,4/3/2023
428,Facebook,Ad,2303,10710,216,4/4/2023
429,Instagram,Story,4614,7528,217,4/4/2023
430,Instagram,Ad,4314,11469,321,4/4/2023
431,Twitter,Story,2862,7276,215,4/4/2023
432,Twitter,Post,4337,13296,903,4/4/2023
433,Instagram,Ad,1822,6906,629,4/5/2023
434,Instagram,Ad,4676,15577,56,4/5/2023
435,Instagram,Story,4778,20167,1858,4/5/2023
436,Facebook,Story,3824,12953,117,4/6/2023
437,Facebook,Post,215,798,40,4/6/2023
438,Instagram,Ad,3493,11640,182,4/6/2023
439,Twitter,Ad,1899,5608,284,4/6/2023
440,Twitter,Ad,4894,19492,1278,4/6/2023
441,Facebook,Post,2600,10563,528,4/7/2023
442,Twitter,Ad,2496,10040,938,4/7/2023
443,Twitter,Reel,4772,8113,184,4/7/2023
444,Twitter,Post,3517,10486,455,4/7/2023
445,Facebook,Ad,350,655,53,4/8/2023
446,Facebook,Ad,147,377,11,4/8/2023
447,Instagram,Post,3992,14967,755,4/8/2023
448,Instagram,Reel,697,726,63,4/8/2023
449,Instagram,Post,4778,11511,5,4/8/2023
450,Facebook,Reel,466,1035,44,4/9/2023
451,Facebook,Post,4755,9317,128,4/9/2023
452,Instagram,Ad,1766,2841,215,4/9/2023
453,Instagram,Ad,1958,9538,143,4/9/2023
454,Twitter,Story,3488,7395,223,4/9/2023
455,Twitter,Post,2037,3784,76,4/9/2023
456,Facebook,Post,1437,4183,354,4/10/2023
457,Twitter,Story,1049,4563,109,4/10/2023
458,Twitter,Ad,4674,6089,452,4/10/2023
459,Twitter,Reel,120,400,36,4/10/2023
460,Facebook,Post,161,376,16,4/11/2023
461,Facebook,Reel,418,500,39,4/11/2023
462,Twitter,Story,4817,16880,1197,4/11/2023
463,Twitter,Story,4778,16395,1192,4/11/2023
464,Twitter,Story,3482,11721,1063,4/11/2023
465,Facebook,Post,174,276,9,4/12/2023
466,Facebook,Post,126,222,10,4/12/2023
467,Facebook,Post,2542,6504,288,4/12/2023
468,Instagram,Story,1346,2002,55,4/12/2023
469,Instagram,Post,2668,11090,550,4/12/2023
470,Instagram,Reel,513,1158,103,4/12/2023
471,Twitter,Story,4533,17365,1177,4/12/2023
472,Twitter,Post,1192,1214,24,4/12/2023
473,Instagram,Ad,3296,4500,450,4/13/2023
474,Instagram,Post,2844,5176,28,4/13/2023
475,Instagram,Story,4130,14619,558,4/13/2023
476,Facebook,Ad,1483,6875,301,4/14/2023
477,Instagram,Ad,1018,4755,447,4/14/2023
478,Instagram,Ad,1851,5711,231,4/14/2023
479,Facebook,Reel,2013,2264,132,4/15/2023
480,Facebook,Story,1068,1968,103,4/15/2023
481,Instagram,Story,4768,7722,617,4/15/2023
482,Twitter,Story,4883,19603,1938,4/15/2023
483,Twitter,Reel,3777,6330,143,4/15/2023
484,Twitter,Ad,992,1950,194,4/15/2023
485,Instagram,Reel,2520,4340,352,4/16/2023
486,Instagram,Reel,2530,4589,277,4/16/2023
487,Twitter,Post,4364,19425,1776,4/16/2023
488,Twitter,Ad,1497,2964,57,4/16/2023
489,Twitter,Reel,4807,5934,497,4/16/2023
490,Facebook,Post,3549,4447,296,4/17/2023
491,Instagram,Post,3770,17253,288,4/17/2023
492,Instagram,Post,3733,14434,146,4/17/2023
493,Twitter,Post,3024,14428,728,4/17/2023
494,Twitter,Ad,1650,2534,82,4/17/2023
495,Twitter,Ad,3828,8322,695,4/17/2023
496,Instagram,Story,4150,5360,63,4/18/2023
497,Instagram,Ad,1812,7525,403,4/18/2023
498,Twitter,Story,999,1519,76,4/18/2023
499,Twitter,Post,3580,6801,333,4/18/2023
500,Twitter,Ad,2481,4843,352,4/18/2023
501,Facebook,Post,214,746,44,4/19/2023
502,Facebook,Story,3861,12962,1296,4/19/2023
503,Instagram,Story,4649,14067,1283,4/19/2023
504,Instagram,Reel,3803,18505,1343,4/19/2023
505,Twitter,Story,1996,3260,310,4/19/2023
506,Facebook,Story,2859,10525,84,4/20/2023
507,Facebook,Reel,1749,4567,368,4/20/2023
508,Instagram,Story,4574,8618,271,4/20/2023
509,Instagram,Reel,551,2319,72,4/20/2023
510,Instagram,Post,3937,5267,333,4/20/2023
511,Twitter,Ad,4478,14701,159,4/20/2023
512,Twitter,Reel,1788,7540,486,4/20/2023
513,Instagram,Reel,4687,20576,1260,4/21/2023
514,Instagram,Post,499,1481,62,4/21/2023
515,Instagram,Ad,4706,10644,36,4/21/2023
516,Twitter,Ad,1878,7968,249,4/21/2023
517,Facebook,Reel,2733,6614,266,4/22/2023
518,Facebook,Post,4709,12624,112,4/22/2023
519,Instagram,Post,4277,7257,422,4/22/2023
520,Instagram,Ad,4746,22160,1631,4/22/2023
521,Instagram,Post,1979,5971,79,4/22/2023
522,Twitter,Story,3561,14636,36,4/22/2023
523,Twitter,Story,790,3494,333,4/22/2023
524,Facebook,Ad,4170,8531,652,4/23/2023
525,Facebook,Reel,2307,4786,371,4/23/2023
526,Facebook,Post,2605,5822,345,4/24/2023
527,Facebook,Post,1728,3013,131,4/24/2023
528,Facebook,Ad,4609,16060,209,4/24/2023
529,Twitter,Reel,537,2189,201,4/24/2023
530,Twitter,Ad,4634,15866,779,4/24/2023
531,Facebook,Post,3640,16158,1417,4/25/2023
532,Facebook,Story,2642,7175,384,4/25/2023
533,Twitter,Ad,4186,7562,227,4/25/2023
534,Twitter,Reel,4258,13021,27,4/25/2023
535,Facebook,Ad,1839,2641,226,4/26/2023
536,Instagram,Reel,3952,10147,664,4/26/2023
537,Instagram,Post,4308,14678,1254,4/26/2023
538,Instagram,Reel,2440,10047,324,4/27/2023
539,Instagram,Ad,1778,4650,414,4/27/2023
540,Instagram,Ad,3664,11513,1094,4/27/2023
541,Twitter,Post,4194,14262,1361,4/27/2023
542,Twitter,Reel,1542,5175,477,4/27/2023
543,Facebook,Ad,3665,4917,23,4/28/2023
544,Facebook,Story,3513,12137,195,4/28/2023
545,Twitter,Ad,1235,3088,274,4/28/2023
546,Twitter,Reel,2225,3046,86,4/28/2023
547,Facebook,Story,165,425,13,4/29/2023
548,Facebook,Ad,1561,6713,513,4/29/2023
549,Facebook,Ad,3282,6960,147,4/29/2023
550,Twitter,Post,4392,10467,151,4/29/2023
