ProductId,CustomizationType,CustomizationOption,AdditionalCost,PrerequisiteOption,MaxQuantity,ApplicableCategories
9,Size,Medium,5,,,Tarte
9,Size,Large,10,,,Tarte
9,Frosting,Chocolate,0,,,Tarte
9,Frosting,Vanilla,0,,,Tarte
9,Message,Custom Message,2,,,Tarte
10,Flavor,Raspberry,0.5,,,Viennoiserie
10,Flavor,Chocolate,0.5,,,Viennoiserie
10,Flavor,Lemon,0.5,,,Viennoiserie
10,Box,6 Viennoiseries,1.5,,,Viennoiserie
10,Box,12 Viennoiseries,2.5,,,Viennoiserie
11,Flour,Whole Wheat,0,,,Bread
11,Seeds/Grains,Sesame Seeds,0.25,,,Bread
11,Seeds/Grains,Poppy Seeds,0.25,,,Bread
11,Seeds/Grains,Sunflower Seeds,0.5,,,Bread
11,Extra,Extra Loaf,2.5,,,Bread
11,Sliced,TRUE,-0.25,,,Bread
12,Flour,Whole Wheat,0,,,Bread
12,Seeds/Grains,Sesame Seeds,0.25,,,Bread
12,Seeds/Grains,Poppy Seeds,0.25,,,Bread
12,Seeds/Grains,Sunflower Seeds,0.5,,,Bread
12,Extra,Extra Loaf,2.5,,,Bread
12,Sliced,TRUE,-0.25,,,Bread
13,Flour,Whole Wheat,0,,,"Pastry, Bread"
13,Seeds/Grains,Sesame Seeds,0.25,,,Bread
13,Seeds/Grains,Poppy Seeds,0.25,,,Bread
13,Seeds/Grains,Sunflower Seeds,0.5,,,Bread
13,Extra,Extra Loaf,2.5,,,Bread
13,Sliced,TRUE,-0.25,,,Bread
14,Flavor,Raspberry,0.5,,,Viennoiserie
14,Flavor,Chocolate,0.5,,,Viennoiserie
14,Flavor,Lemon,0.5,,,Viennoiserie
14,Box,6 Viennoiseries,1.5,,,Viennoiserie
14,Box,12 Viennoiseries,2.5,,,Viennoiserie
15,Flour,Whole Wheat,0,,,Bread
15,Seeds/Grains,Sesame Seeds,0.25,,,Bread
15,Seeds/Grains,Poppy Seeds,0.25,,,Bread
15,Seeds/Grains,Sunflower Seeds,0.5,,,Bread
15,Extra,Extra Loaf,2.5,,,Bread
15,Sliced,TRUE,-0.25,,,Bread
16,Flour,Whole Wheat,0,,,Bread
16,Seeds/Grains,Sesame Seeds,0.25,,,Bread
16,Seeds/Grains,Poppy Seeds,0.25,,,Bread
16,Seeds/Grains,Sunflower Seeds,0.5,,,Bread
16,Extra,Extra Loaf,2.5,,,Bread
16,Sliced,TRUE,-0.25,,,Bread
17,Glaze,Chocolate,0.5,,,Pastry
17,Glaze,Vanilla,0.5,,,Pastry
17,Glaze,Sugar Glaze,0,,,Pastry
17,Topping,Sprinkles,0.5,Glaze,3,"Tarte, Pastry"
17,Topping,Nuts,0.75,Glaze,2,"Tarte, Pastry"
17,Topping,Fresh Fruit,1,,1,"Tarte, Pastry"
17,Filling,Chocolate Ganache,1,,,Pastry
17,Filling,Vanilla Custard,0.75,,,Pastry
17,Filling,Coffee Cream,1,,,Pastry
17,Message,Custom Message,2,,,Pastry
18,Size,Medium,5,,,Tarte
18,Size,Large,10,,,Tarte
18,Frosting,Chocolate,0,,,Tarte
18,Frosting,Vanilla,0,,,"Tarte, Pastry"
18,Message,Custom Message,2,,,Tarte
19,Flour,Whole Wheat,0,,,Bread
19,Seeds/Grains,Sesame Seeds,0.25,,,Bread
19,Seeds/Grains,Poppy Seeds,0.25,,,Bread
19,Seeds/Grains,Sunflower Seeds,0.5,,,Bread
19,Extra,Extra Loaf,2.5,,,Bread
19,Sliced,TRUE,-0.25,,,Bread
20,Flavor,Raspberry,0.5,,,Viennoiserie
20,Flavor,Chocolate,0.5,,,Viennoiserie
20,Flavor,Lemon,0.5,,,Viennoiserie
20,Box,6 Viennoiseries,1.5,,,Viennoiserie
20,Box,12 Viennoiseries,2.5,,,Viennoiserie
21,Flavor,Raspberry,0.5,,,Viennoiserie
21,Flavor,Chocolate,0.5,,,Viennoiserie
21,Flavor,Lemon,0.5,,,Viennoiserie
21,Box,6 Viennoiseries,1.5,,,Viennoiserie
21,Box,12 Viennoiseries,2.5,,,Viennoiserie
22,Size,Medium,5,,,Tarte
22,Size,Large,10,,,Tarte
22,Frosting,Chocolate,0,,,Tarte
22,Frosting,Vanilla,0,,,Tarte
22,Message,Custom Message,2,,,Tarte
23,Glaze,Chocolate,0.5,,,Pastry
23,Glaze,Vanilla,0.5,,,Pastry
23,Glaze,Sugar Glaze,0,,,Pastry
23,Topping,Sprinkles,0.5,Glaze,3,Pastry
23,Topping,Nuts,0.75,Glaze,2,Pastry
23,Topping,Fresh Fruit,1,,1,Pastry
23,Filling,Chocolate Ganache,1,,,Pastry
23,Filling,Vanilla Custard,0.75,,,Pastry
23,Filling,Coffee Cream,1,,,Pastry
23,Message,Custom Message,2,,,Pastry
24,Flavor,Raspberry,0.5,,,Viennoiserie
24,Flavor,Chocolate,0.5,,,Viennoiserie
24,Flavor,Lemon,0.5,,,Viennoiserie
24,Box,6 Viennoiseries,1.5,,,Viennoiserie
24,Box,12 Viennoiseries,2.5,,,Viennoiserie
25,Flour,Whole Wheat,0,,,Bread
25,Seeds/Grains,Sesame Seeds,0.25,,,Bread
25,Seeds/Grains,Poppy Seeds,0.25,,,Bread
25,Seeds/Grains,Sunflower Seeds,0.5,,,Bread
25,Extra,Extra Loaf,2.5,,,Bread
25,Sliced,TRUE,-0.25,,,Bread
