transaction_id,customer_id,date,time,(No column name),product_id,quantity,price,payment_method,channel,store_id,promotion_id,discount_amount
59,367,4/21/2024,17:17,17:17,4,5,5.53,Mobile Pay,Online,,,0
60,560,2/14/2024,12:58,12:58,9,8,3.04,Cash,Online,,,0
61,149,2/25/2024,12:40,12:40,24,3,2.96,Cash,In-store,1,,0
62,477,8/15/2023,11:27,11:27,22,1,6.38,Mobile Pay,In-store,1,,0
63,130,12/10/2023,20:22,20:22,1,4,6.17,Mobile Pay,Online,,,0
64,322,3/3/2024,15:31,15:31,21,4,4.82,Mobile Pay,Online,,,0
65,495,8/31/2023,8:11,8:11,7,4,3.43,Mobile Pay,In-store,2,,0
66,556,3/8/2024,14:52,14:52,16,1,4.89,Credit Card,In-store,2,,0
67,220,10/31/2023,13:49,13:49,16,1,4.89,Cash,In-store,1,4,0.64
68,559,8/25/2023,13:26,13:26,26,2,6.48,Cash,Online,,4,1.93
69,124,7/14/2023,19:01,19:01,11,5,3.7,Credit Card,In-store,1,,0
70,273,6/7/2023,11:39,11:39,4,1,5.53,Mobile Pay,In-store,3,,0
71,682,1/23/2024,19:18,19:18,19,2,3.74,Credit Card,Online,,2,1.83
72,282,6/1/2024,15:32,15:32,6,1,3.51,Cash,In-store,2,,0
73,151,12/31/2023,19:26,19:26,6,3,3.51,Credit Card,Online,,5,1.16
74,308,6/7/2023,12:03,12:03,6,5,3.51,Mobile Pay,Online,,4,1.8
75,491,5/6/2024,18:24,18:24,3,5,2.83,Mobile Pay,In-store,1,,0
76,607,3/30/2024,19:20,19:20,10,5,3.41,Credit Card,Online,,,0
77,163,4/30/2024,17:45,17:45,10,1,3.41,Credit Card,In-store,3,2,0.75
78,493,9/23/2023,18:55,18:55,16,5,4.89,Cash,In-store,3,,0
79,255,2/24/2024,17:36,17:36,2,1,4.32,Credit Card,In-store,3,5,0.8
80,20,10/2/2023,15:42,15:42,8,5,4.66,Mobile Pay,In-store,2,4,3.88
81,350,6/14/2023,17:35,17:35,22,3,6.38,Cash,In-store,3,,0
82,617,6/4/2024,11:56,11:56,16,5,4.89,Credit Card,Online,,,0
83,654,1/12/2024,14:13,14:13,8,1,4.66,Mobile Pay,Online,,,0
84,554,1/16/2024,16:51,16:51,10,1,3.41,Cash,In-store,2,,0
85,277,6/15/2023,20:28,20:28,8,4,4.66,Credit Card,In-store,2,1,4.11
86,597,11/23/2023,9:42,9:42,10,5,3.41,Cash,Online,,3,3.78
87,614,12/6/2023,8:49,8:49,11,1,3.7,Credit Card,In-store,3,,0
88,703,1/13/2024,20:18,20:18,26,2,6.48,Mobile Pay,Online,,,0
89,345,11/22/2023,14:41,14:41,7,2,3.43,Mobile Pay,Online,,3,0.94
90,562,3/24/2024,8:00,8:00,16,1,4.89,Credit Card,Online,,,0
91,561,3/13/2024,12:02,12:02,1,3,6.17,Mobile Pay,Online,,,0
92,287,8/1/2023,14:11,14:11,14,4,4.33,Credit Card,Online,,,0
93,238,11/4/2023,12:36,12:36,6,4,3.51,Credit Card,In-store,2,,0
94,438,8/20/2023,8:06,8:06,21,4,4.82,Credit Card,Online,,,0
95,544,9/8/2023,11:55,11:55,8,3,4.66,Cash,In-store,3,2,3.01
96,270,10/11/2023,8:50,8:50,13,4,3.41,Cash,In-store,1,,0
97,515,11/19/2023,17:30,17:30,3,2,2.83,Mobile Pay,Online,,,0
98,345,1/30/2024,19:03,19:03,22,3,6.38,Cash,In-store,2,,0
99,460,10/24/2023,10:26,10:26,7,3,3.43,Cash,Online,,,0
100,601,4/6/2024,20:04,20:04,6,2,3.51,Credit Card,In-store,1,,0
101,117,11/1/2023,10:37,10:37,23,3,3.63,Mobile Pay,Online,,,0
102,527,11/5/2023,11:26,11:26,9,2,3.04,Cash,Online,,2,1.11
103,142,7/16/2023,16:11,16:11,3,4,2.83,Cash,Online,,3,2.59
104,229,9/5/2023,17:33,17:33,8,2,4.66,Credit Card,In-store,1,,0
105,362,7/8/2023,18:12,18:12,6,1,3.51,Mobile Pay,Online,,3,0.37
106,215,8/14/2023,12:08,12:08,16,5,4.89,Cash,Online,,,0
107,361,5/16/2024,9:21,9:21,9,3,3.04,Credit Card,Online,,,0
108,542,7/30/2023,14:05,14:05,15,3,3.78,Cash,In-store,2,,0
109,151,8/22/2023,11:04,11:04,6,1,3.51,Mobile Pay,Online,,,0
110,40,8/8/2023,16:29,16:29,23,2,3.63,Mobile Pay,In-store,1,,0
111,711,8/12/2023,10:28,10:28,16,5,4.89,Cash,In-store,3,,0
112,283,11/27/2023,9:09,9:09,11,4,3.7,Mobile Pay,Online,,,0
113,33,6/12/2023,17:08,17:08,20,2,5.96,Cash,Online,,,0
114,480,6/19/2023,12:41,12:41,24,3,2.96,Credit Card,Online,,,0
115,271,11/6/2023,18:38,18:38,1,3,6.17,Mobile Pay,Online,,,0
116,74,8/10/2023,8:21,8:21,8,3,4.66,Credit Card,Online,,,0
117,276,11/3/2023,20:48,20:48,26,2,6.48,Credit Card,In-store,2,,0
118,420,9/18/2023,9:31,9:31,13,3,3.41,Credit Card,Online,,,0
119,400,5/8/2024,13:18,13:18,11,3,3.7,Credit Card,Online,,3,3
120,319,5/30/2024,18:13,18:13,24,4,2.96,Cash,Online,,,0
121,601,10/15/2023,10:39,10:39,7,1,3.43,Credit Card,Online,,,0
122,339,4/3/2024,19:50,19:50,24,3,2.96,Cash,Online,,,0
123,122,2/21/2024,9:04,9:04,19,4,3.74,Cash,Online,,4,1.82
124,646,5/22/2024,18:31,18:31,22,5,6.38,Cash,Online,,3,8.96
125,216,7/16/2023,19:34,19:34,16,4,4.89,Cash,In-store,3,,0
126,226,3/4/2024,10:30,10:30,21,3,4.82,Mobile Pay,In-store,1,,0
127,120,4/19/2024,18:08,18:08,18,4,5.14,Credit Card,Online,,,0
128,608,10/6/2023,10:37,10:37,3,5,2.83,Credit Card,Online,,3,2.3
129,14,7/23/2023,8:43,8:43,6,3,3.51,Mobile Pay,In-store,3,,0
130,376,7/8/2023,20:23,20:23,23,2,3.63,Credit Card,In-store,2,,0
131,129,1/26/2024,20:51,20:51,3,4,2.83,Cash,In-store,2,,0
132,565,2/29/2024,12:53,12:53,19,2,3.74,Mobile Pay,In-store,3,,0
133,167,8/22/2023,20:07,20:07,14,5,4.33,Mobile Pay,Online,,,0
134,261,3/1/2024,16:32,16:32,8,4,4.66,Mobile Pay,In-store,2,,0
135,338,2/14/2024,11:27,11:27,20,5,5.96,Mobile Pay,Online,,,0
136,251,5/17/2024,19:36,19:36,9,2,3.04,Credit Card,Online,,,0
137,475,1/15/2024,10:52,10:52,12,5,5.06,Credit Card,In-store,1,,0
138,385,6/30/2023,18:37,18:37,16,2,4.89,Cash,Online,,,0
139,662,6/18/2023,17:13,17:13,23,3,3.63,Mobile Pay,Online,,,0
140,303,10/1/2023,18:02,18:02,2,5,4.32,Credit Card,In-store,2,,0
141,245,9/5/2023,10:01,10:01,8,3,4.66,Mobile Pay,In-store,1,,0
142,188,2/6/2024,9:22,9:22,15,4,3.78,Mobile Pay,Online,,,0
143,258,9/22/2023,17:33,17:33,13,3,3.41,Cash,In-store,3,3,1.57
144,326,7/13/2023,20:28,20:28,4,1,5.53,Credit Card,In-store,2,2,1.65
145,443,2/17/2024,20:21,20:21,19,1,3.74,Mobile Pay,In-store,1,,0
146,114,7/9/2023,20:31,20:31,14,3,4.33,Cash,Online,,,0
147,311,11/21/2023,18:08,18:08,11,2,3.7,Credit Card,In-store,3,2,1.08
148,51,6/8/2023,11:10,11:10,13,5,3.41,Cash,In-store,3,2,3.04
149,527,5/1/2024,12:04,12:04,7,1,3.43,Mobile Pay,Online,,2,0.62
150,580,12/26/2023,18:08,18:08,24,4,2.96,Cash,In-store,2,2,1.75
151,148,8/10/2023,12:33,12:33,1,5,6.17,Cash,Online,,,0
152,62,6/28/2023,9:14,9:14,24,1,2.96,Mobile Pay,In-store,3,2,0.72
153,438,1/15/2024,16:50,16:50,6,4,3.51,Cash,In-store,2,,0
154,149,7/3/2023,15:49,15:49,15,4,3.78,Mobile Pay,In-store,3,,0
155,705,1/13/2024,15:01,15:01,19,3,3.74,Credit Card,In-store,3,,0
156,121,3/16/2024,14:16,14:16,20,4,5.96,Mobile Pay,In-store,3,,0
157,571,5/23/2024,12:09,12:09,14,1,4.33,Credit Card,In-store,3,4,0.9
158,607,4/14/2024,12:18,12:18,8,3,4.66,Cash,Online,,5,3.19
159,542,11/15/2023,19:55,19:55,4,2,5.53,Cash,In-store,3,,0
160,40,10/21/2023,10:34,10:34,21,1,4.82,Credit Card,In-store,1,,0
161,702,11/27/2023,15:47,15:47,14,1,4.33,Credit Card,In-store,2,,0
162,411,10/22/2023,13:23,13:23,12,4,5.06,Mobile Pay,In-store,2,,0
163,435,8/10/2023,16:08,16:08,26,3,6.48,Cash,Online,,,0
164,627,12/3/2023,11:15,11:15,16,4,4.89,Cash,Online,,5,3.32
165,504,7/19/2023,17:43,17:43,9,4,3.04,Credit Card,In-store,1,3,2.76
166,644,2/24/2024,14:09,14:09,21,5,4.82,Cash,Online,,,0
167,134,10/29/2023,12:25,12:25,6,1,3.51,Mobile Pay,In-store,1,4,0.86
168,6,5/13/2024,12:20,12:20,14,2,4.33,Cash,In-store,3,,0
169,538,10/25/2023,17:35,17:35,24,2,2.96,Cash,In-store,1,,0
170,648,12/31/2023,14:53,14:53,7,4,3.43,Mobile Pay,Online,,,0
171,634,1/7/2024,19:48,19:48,26,3,6.48,Mobile Pay,Online,,,0
172,103,12/15/2023,20:46,20:46,24,4,2.96,Cash,In-store,3,,0
173,600,4/21/2024,10:24,10:24,11,1,3.7,Mobile Pay,Online,,,0
174,338,1/31/2024,16:46,16:46,17,2,3.59,Cash,In-store,3,2,1.02
175,517,4/28/2024,19:18,19:18,6,5,3.51,Mobile Pay,Online,,,0
176,358,5/30/2024,20:32,20:32,8,1,4.66,Mobile Pay,Online,,5,0.88
177,697,3/23/2024,13:34,13:34,6,2,3.51,Cash,In-store,1,,0
178,160,4/13/2024,10:16,10:16,26,5,6.48,Cash,Online,,4,9.12
179,428,7/15/2023,17:11,17:11,17,1,3.59,Cash,In-store,3,5,0.79
180,218,8/21/2023,13:50,13:50,10,1,3.41,Mobile Pay,Online,,,0
181,243,2/10/2024,19:08,19:08,2,1,4.32,Credit Card,In-store,1,,0
182,495,4/14/2024,15:25,15:25,8,3,4.66,Cash,Online,,,0
183,355,2/12/2024,16:06,16:06,12,5,5.06,Mobile Pay,Online,,,0
184,599,7/10/2023,12:25,12:25,9,4,3.04,Credit Card,Online,,,0
185,209,8/22/2023,10:24,10:24,1,1,6.17,Mobile Pay,In-store,1,,0
186,176,3/18/2024,18:09,18:09,23,5,3.63,Credit Card,Online,,4,5.15
187,468,7/25/2023,11:48,11:48,19,4,3.74,Credit Card,Online,,,0
188,121,6/10/2023,13:46,13:46,19,5,3.74,Cash,In-store,3,,0
189,183,3/30/2024,16:24,16:24,11,2,3.7,Credit Card,Online,,,0
190,66,2/6/2024,10:09,10:09,9,4,3.04,Credit Card,Online,,,0
191,179,9/4/2023,20:56,20:56,22,1,6.38,Cash,Online,,,0
192,632,10/13/2023,10:42,10:42,6,3,3.51,Mobile Pay,Online,,,0
193,156,10/7/2023,8:32,8:32,12,2,5.06,Credit Card,In-store,3,2,1.34
194,614,8/12/2023,16:01,16:01,20,2,5.96,Credit Card,In-store,2,1,3.51
195,613,2/23/2024,12:19,12:19,6,4,3.51,Mobile Pay,Online,,5,2.9
196,298,1/1/2024,8:11,8:11,21,5,4.82,Credit Card,Online,,,0
197,578,2/10/2024,19:20,19:20,15,5,3.78,Credit Card,Online,,2,2.03
198,215,12/15/2023,19:25,19:25,17,3,3.59,Cash,In-store,2,,0
199,667,3/14/2024,16:38,16:38,14,3,4.33,Cash,Online,,,0
200,635,4/13/2024,19:26,19:26,16,5,4.89,Mobile Pay,In-store,2,,0
201,495,1/17/2024,8:49,8:49,14,2,4.33,Cash,Online,,,0
202,336,8/6/2023,14:02,14:02,16,4,4.89,Mobile Pay,In-store,2,,0
203,354,4/12/2024,9:59,9:59,18,2,5.14,Cash,Online,,,0
204,440,1/27/2024,9:04,9:04,15,2,3.78,Credit Card,Online,,,0
205,647,5/14/2024,17:17,17:17,24,5,2.96,Cash,Online,,,0
206,400,5/1/2024,16:50,16:50,21,5,4.82,Cash,Online,,,0
207,663,9/18/2023,9:54,9:54,16,1,4.89,Mobile Pay,Online,,3,1.34
208,674,7/22/2023,10:06,10:06,5,1,4.36,Mobile Pay,In-store,2,,0
209,185,10/9/2023,18:01,18:01,4,3,5.53,Mobile Pay,Online,,1,1.66
210,175,4/8/2024,14:37,14:37,24,2,2.96,Cash,In-store,1,,0
211,145,10/23/2023,16:32,16:32,3,5,2.83,Credit Card,In-store,2,,0
212,596,11/12/2023,14:41,14:41,18,1,5.14,Mobile Pay,Online,,,0
213,320,8/9/2023,13:51,13:51,1,3,6.17,Mobile Pay,In-store,3,,0
214,539,5/4/2024,8:26,8:26,13,5,3.41,Mobile Pay,Online,,4,2.56
215,568,11/26/2023,18:29,18:29,18,4,5.14,Mobile Pay,Online,,,0
216,323,5/25/2024,16:07,16:07,20,5,5.96,Cash,In-store,1,,0
217,345,7/10/2023,19:51,19:51,21,2,4.82,Mobile Pay,In-store,3,4,1.42
218,692,8/12/2023,10:02,10:02,9,5,3.04,Credit Card,In-store,3,,0
219,363,1/28/2024,15:59,15:59,19,3,3.74,Credit Card,Online,,,0
220,111,10/17/2023,17:36,17:36,13,3,3.41,Credit Card,In-store,3,,0
221,404,9/30/2023,20:49,20:49,20,1,5.96,Credit Card,Online,,1,0.91
222,140,8/15/2023,19:29,19:29,19,1,3.74,Credit Card,Online,,5,0.48
223,136,6/3/2024,16:37,16:37,26,3,6.48,Credit Card,Online,,,0
224,421,12/19/2023,17:35,17:35,6,4,3.51,Cash,Online,,,0
225,500,11/11/2023,16:10,16:10,23,2,3.63,Mobile Pay,Online,,,0
226,255,1/27/2024,11:35,11:35,10,5,3.41,Mobile Pay,Online,,5,1.95
227,570,6/2/2024,14:58,14:58,8,1,4.66,Mobile Pay,Online,,3,1.19
228,351,5/25/2024,18:36,18:36,10,2,3.41,Cash,In-store,1,,0
229,344,4/27/2024,20:33,20:33,18,1,5.14,Cash,In-store,3,,0
230,654,9/2/2023,8:22,8:22,5,5,4.36,Credit Card,Online,,,0
231,525,7/12/2023,18:58,18:58,22,5,6.38,Cash,In-store,1,,0
232,552,3/22/2024,12:06,12:06,13,5,3.41,Credit Card,In-store,1,,0
233,491,2/1/2024,14:03,14:03,4,4,5.53,Credit Card,Online,,,0
234,461,4/12/2024,12:27,12:27,17,2,3.59,Credit Card,Online,,,0
235,438,2/28/2024,20:10,20:10,18,5,5.14,Cash,Online,,,0
236,472,2/1/2024,12:30,12:30,7,1,3.43,Cash,Online,,,0
237,251,5/12/2024,20:54,20:54,7,1,3.43,Cash,In-store,3,3,0.96
238,445,1/12/2024,15:13,15:13,23,5,3.63,Credit Card,Online,,,0
239,556,5/26/2024,11:50,11:50,11,2,3.7,Mobile Pay,In-store,1,,0
240,412,2/25/2024,13:53,13:53,5,5,4.36,Credit Card,Online,,,0
241,128,11/25/2023,14:04,14:04,20,3,5.96,Credit Card,In-store,1,,0
242,114,3/13/2024,13:31,13:31,17,5,3.59,Mobile Pay,Online,,,0
243,560,7/10/2023,10:57,10:57,2,4,4.32,Mobile Pay,In-store,1,,0
244,210,3/3/2024,20:55,20:55,19,2,3.74,Cash,In-store,1,,0
245,186,8/27/2023,16:06,16:06,2,1,4.32,Credit Card,In-store,1,,0
246,528,3/11/2024,19:44,19:44,2,1,4.32,Cash,Online,,,0
247,506,3/25/2024,16:11,16:11,11,3,3.7,Cash,Online,,,0
248,349,5/6/2024,15:53,15:53,7,3,3.43,Mobile Pay,Online,,,0
249,133,6/27/2023,20:26,20:26,23,5,3.63,Credit Card,In-store,1,2,2.57
250,527,4/7/2024,15:40,15:40,7,5,3.43,Cash,Online,,,0
251,288,7/10/2023,20:28,20:28,24,2,2.96,Credit Card,Online,,,0
252,277,5/10/2024,19:08,19:08,5,4,4.36,Credit Card,In-store,3,,0
253,563,6/14/2023,20:45,20:45,1,3,6.17,Credit Card,In-store,3,,0
254,118,7/11/2023,18:13,18:13,14,5,4.33,Cash,Online,,5,4.48
255,679,2/17/2024,15:00,15:00,24,4,2.96,Cash,Online,,,0
256,507,3/3/2024,13:07,13:07,2,5,4.32,Credit Card,In-store,3,,0
257,186,4/15/2024,10:46,10:46,6,3,3.51,Cash,In-store,1,,0
258,618,5/29/2024,14:11,14:11,16,2,4.89,Cash,Online,,,0
259,708,7/6/2023,11:26,11:26,15,4,3.78,Credit Card,In-store,3,,0
260,303,1/10/2024,9:04,9:04,4,2,5.53,Mobile Pay,In-store,1,,0
261,437,8/21/2023,10:04,10:04,12,4,5.06,Mobile Pay,Online,,,0
262,707,12/6/2023,8:59,8:59,23,5,3.63,Mobile Pay,Online,,,0
263,683,8/26/2023,19:32,19:32,17,5,3.59,Cash,Online,,,0
264,552,6/23/2023,18:07,18:07,10,1,3.41,Mobile Pay,Online,,1,0.48
265,466,7/7/2023,8:36,8:36,9,3,3.04,Mobile Pay,Online,,,0
266,668,1/24/2024,15:29,15:29,14,4,4.33,Mobile Pay,Online,,,0
267,127,2/22/2024,20:58,20:58,19,5,3.74,Credit Card,In-store,3,,0
268,576,9/3/2023,16:43,16:43,2,4,4.32,Cash,In-store,2,3,2.95
269,101,5/25/2024,8:03,8:03,12,5,5.06,Credit Card,In-store,3,,0
270,116,1/1/2024,8:39,8:39,10,3,3.41,Cash,Online,,,0
271,534,10/10/2023,10:24,10:24,11,5,3.7,Credit Card,Online,,,0
272,308,11/9/2023,19:11,19:11,8,5,4.66,Mobile Pay,Online,,,0
273,305,5/26/2024,11:26,11:26,24,2,2.96,Mobile Pay,In-store,3,,0
274,454,8/9/2023,17:40,17:40,3,2,2.83,Cash,Online,,5,1.08
275,265,2/28/2024,9:27,9:27,10,5,3.41,Credit Card,In-store,3,,0
276,446,4/12/2024,19:27,19:27,12,3,5.06,Cash,In-store,1,,0
277,579,7/14/2023,16:26,16:26,26,1,6.48,Credit Card,In-store,3,,0
278,586,3/29/2024,12:46,12:46,23,1,3.63,Mobile Pay,In-store,1,2,0.48
279,244,11/3/2023,13:15,13:15,18,1,5.14,Credit Card,In-store,3,1,1.33
280,421,6/24/2023,11:24,11:24,10,2,3.41,Mobile Pay,Online,,,0
281,133,7/21/2023,19:47,19:47,16,4,4.89,Cash,In-store,1,4,5.15
282,535,8/4/2023,18:44,18:44,12,5,5.06,Cash,In-store,1,,0
283,504,12/25/2023,16:11,16:11,17,1,3.59,Mobile Pay,In-store,2,,0
284,243,10/5/2023,8:22,8:22,19,1,3.74,Mobile Pay,In-store,1,4,0.41
285,272,12/25/2023,20:53,20:53,13,4,3.41,Cash,In-store,2,,0
286,695,2/22/2024,8:43,8:43,9,3,3.04,Credit Card,Online,,,0
287,189,10/23/2023,15:21,15:21,18,3,5.14,Credit Card,Online,,3,3.79
288,409,6/22/2023,12:38,12:38,6,2,3.51,Mobile Pay,Online,,3,1.41
289,597,9/26/2023,15:33,15:33,17,5,3.59,Credit Card,In-store,1,,0
290,462,11/13/2023,20:09,20:09,10,3,3.41,Credit Card,Online,,,0
291,131,12/28/2023,14:35,14:35,7,1,3.43,Credit Card,In-store,2,5,0.98
292,473,2/14/2024,17:00,17:00,15,1,3.78,Mobile Pay,In-store,2,,0
293,497,3/18/2024,20:18,20:18,5,5,4.36,Cash,In-store,2,,0
294,375,7/24/2023,8:33,8:33,5,2,4.36,Cash,Online,,,0
295,268,2/14/2024,20:22,20:22,19,5,3.74,Mobile Pay,Online,,,0
296,327,12/19/2023,20:03,20:03,6,1,3.51,Mobile Pay,Online,,,0
297,103,11/27/2023,15:11,15:11,22,4,6.38,Credit Card,In-store,2,,0
298,675,3/29/2024,10:35,10:35,20,3,5.96,Cash,Online,,,0
299,360,10/9/2023,19:56,19:56,17,3,3.59,Credit Card,In-store,2,3,1.27
300,345,10/19/2023,13:43,13:43,23,4,3.63,Mobile Pay,In-store,2,4,2.26
301,270,6/8/2023,9:59,9:59,22,1,6.38,Cash,In-store,1,2,1.75
302,540,5/13/2024,11:47,11:47,18,2,5.14,Cash,Online,,,0
303,286,6/11/2023,19:15,19:15,15,1,3.78,Cash,Online,,,0
304,153,11/18/2023,9:04,9:04,11,2,3.7,Cash,Online,,,0
305,211,4/9/2024,10:09,10:09,23,1,3.63,Credit Card,In-store,3,,0
306,684,6/3/2024,15:05,15:05,20,2,5.96,Credit Card,In-store,2,,0
307,439,1/24/2024,17:03,17:03,9,5,3.04,Cash,In-store,1,,0
308,387,1/12/2024,20:08,20:08,12,1,5.06,Credit Card,In-store,1,,0
309,671,10/7/2023,19:17,19:17,14,2,4.33,Mobile Pay,Online,,,0
310,373,7/7/2023,16:54,16:54,4,1,5.53,Cash,Online,,,0
311,412,1/4/2024,8:10,8:10,14,1,4.33,Cash,Online,,1,1.21
312,159,4/13/2024,10:01,10:01,22,5,6.38,Cash,In-store,3,,0
313,503,12/22/2023,12:51,12:51,23,4,3.63,Mobile Pay,In-store,3,,0
314,278,6/7/2023,11:50,11:50,20,5,5.96,Mobile Pay,Online,,,0
315,681,11/3/2023,11:42,11:42,11,5,3.7,Credit Card,Online,,2,2.06
316,531,12/4/2023,10:12,10:12,21,4,4.82,Credit Card,Online,,,0
317,315,7/23/2023,19:29,19:29,14,4,4.33,Cash,Online,,,0
318,396,10/22/2023,15:32,15:32,2,2,4.32,Mobile Pay,In-store,2,,0
319,483,12/26/2023,15:00,15:00,21,1,4.82,Mobile Pay,Online,,,0
320,482,7/23/2023,18:49,18:49,6,3,3.51,Mobile Pay,In-store,2,4,1.31
321,599,7/12/2023,16:21,16:21,11,4,3.7,Credit Card,Online,,,0
322,695,3/28/2024,14:14,14:14,17,1,3.59,Cash,Online,,,0
323,472,4/14/2024,20:42,20:42,11,4,3.7,Mobile Pay,Online,,,0
324,593,11/8/2023,11:24,11:24,21,3,4.82,Mobile Pay,In-store,3,5,2.53
325,546,8/28/2023,20:52,20:52,20,3,5.96,Mobile Pay,In-store,3,,0
326,353,2/5/2024,9:49,9:49,24,3,2.96,Mobile Pay,In-store,2,,0
327,598,6/7/2023,17:45,17:45,4,3,5.53,Mobile Pay,In-store,3,,0
328,320,8/29/2023,10:02,10:02,17,1,3.59,Mobile Pay,Online,,,0
329,472,7/22/2023,10:43,10:43,2,4,4.32,Mobile Pay,Online,,,0
330,598,3/6/2024,20:22,20:22,5,4,4.36,Cash,In-store,3,5,2.2
331,269,11/19/2023,10:21,10:21,17,4,3.59,Mobile Pay,In-store,1,,0
332,690,6/12/2023,16:36,16:36,17,4,3.59,Credit Card,Online,,,0
